Node Number	Equivalent Elastic Strain (m/m)
690	0.
691	0.
691	0.
692	0.
692	0.
693	0.
693	0.
694	0.
694	0.
695	0.
695	0.
696	0.
696	0.
697	0.
697	0.
698	0.
698	0.
699	2.5839e-003
699	5.7868e-003
700	2.2963e-002
700	2.2104e-002
701	0.
701	0.
702	1.2542e-004
702	7.3267e-005
703	0.
703	0.
704	0.
704	0.
705	0.
705	0.
706	0.
706	0.
707	8.2742e-003
707	7.9627e-003
708	0.
708	0.
709	0.
709	0.
710	0.
710	0.
711	0.
711	0.
712	0.
712	0.
713	0.
713	0.
714	0.
714	0.
715	0.
715	0.
716	0.
716	0.
717	0.
717	0.
718	0.
718	0.
719	0.
719	0.
720	0.
720	0.
721	0.
721	0.
722	0.
722	0.
723	0.
723	0.
724	0.
724	0.
725	0.
725	0.
726	0.
726	0.
727	0.
727	0.
728	0.
728	0.
