Node Number	Equivalent (von-Mises) Stress (Pa)
297	1.9412e+006
297	1.1263e+006
298	1.4912e+006
298	1.629e+006
299	3.1995e+006
299	3.5489e+006
300	3.2521e+006
300	4.6104e+006
301	3.7355e+006
301	4.6479e+006
302	2.2262e+006
302	9.4947e+005
303	3.061e+006
303	2.3911e+006
304	1.0505e+006
304	9.1461e+005
305	2.5605e+006
305	7.5838e+005
306	2.2468e+006
306	2.2943e+006
307	2.3158e+006
307	6.3574e+005
308	7.1277e+005
308	2.596e+006
309	1.0826e+006
309	1.4175e+006
310	1.7962e+006
310	2.4105e+006
311	1.8435e+006
311	2.1143e+006
312	1.9201e+006
312	2.7811e+006
313	9.6433e+005
313	1.3237e+006
314	2.1828e+006
314	2.4893e+006
315	2.1145e+006
315	1.55e+006
316	7.1971e+005
316	5.4661e+005
317	2.0383e+006
317	1.2246e+006
318	3.653e+006
318	2.4922e+006
319	4.9184e+006
319	4.298e+006
320	87719
320	1.5428e+005
321	1.5893e+005
321	1.4069e+005
322	1.5552e+005
322	2.4035e+005
323	86600
323	98954
324	1.02e+005
324	1.0318e+005
325	1.1705e+005
325	3.2298e+005
326	1.561e+005
326	1.2152e+005
327	2.7412e+005
327	4.1133e+005
328	9.5147e+005
328	1.147e+006
329	7.91e+005
329	5.949e+005
330	1.8996e+006
330	2.0618e+006
331	1.7127e+006
331	1.3938e+006
332	1.3557e+006
332	1.3326e+006
333	1.863e+006
333	1.1247e+006
334	1.027e+006
334	9.3637e+005
335	9.7445e+005
335	5.5728e+005
336	1.3401e+006
336	1.4489e+006
337	2.0529e+006
337	1.7739e+006
338	3.5334e+006
338	2.3479e+006
339	2.1313e+006
339	1.717e+006
340	1.1956e+006
340	1.0137e+006
341	6.9869e+005
341	1.2928e+006
342	1.0703e+006
342	1.0385e+006
343	7.1683e+005
343	6.1953e+005
344	9.3926e+005
344	1.6744e+006
345	8.4663e+005
345	1.4009e+006
346	8.0379e+005
346	1.0243e+006
347	3.1347e+005
347	2.68e+005
348	3.9328e+005
348	5.6849e+005
349	5.4436e+005
349	2.7954e+005
350	79746
350	70487
351	1.2293e+006
351	2.3399e+006
352	1.0676e+006
352	2.1838e+006
353	2.5987e+006
353	3.0183e+006
354	8.3381e+005
354	7.6628e+005
355	9.2848e+005
355	1.6337e+006
356	3.364e+006
356	4.5964e+005
357	2.5767e+006
357	3.3083e+006
358	2.0385e+006
358	3.3201e+006
359	1.1879e+006
359	1.0617e+006
360	2.8633e+006
360	2.156e+006
361	3.2394e+006
361	4.2369e+006
362	2.8133e+006
362	1.6009e+006
363	3.3977e+006
363	4.5356e+006
364	8.9122e+005
364	1.5308e+006
365	3.2025e+006
365	2.4316e+006
366	2.7705e+006
366	1.4672e+006
367	4.5032e+006
367	2.2018e+006
368	2.0564e+006
368	3.2416e+006
369	2.2099e+006
369	2.8937e+006
370	2.3613e+006
370	4.321e+006
371	1.9076e+006
371	9.9319e+005
372	2.1832e+006
372	2.377e+006
373	2.3815e+006
373	4.0178e+006
374	9.7913e+005
374	2.5172e+006
375	1.2245e+006
375	3.6147e+006
376	2.2348e+006
376	3.0987e+006
377	1.3436e+006
377	4.4172e+006
378	2.2013e+006
378	2.0526e+006
379	2.9501e+006
379	3.6023e+006
380	4.9889e+006
380	3.6074e+006
381	3.8668e+006
381	3.3093e+006
382	2.7143e+006
382	4.9237e+006
383	3.7111e+006
383	3.3797e+006
384	5.3763e+006
384	4.4992e+006
385	4.0753e+006
385	7.2708e+006
386	6.454e+006
386	4.1065e+006
387	4.4486e+006
387	3.8016e+006
388	4.5307e+006
388	4.5483e+006
389	2.65e+006
389	3.5164e+006
390	4.1785e+006
390	3.9951e+006
391	3.7508e+006
391	3.1855e+006
392	4.8276e+006
392	5.5847e+006
393	1.2824e+006
393	3.5436e+006
394	4.5569e+006
394	7.6357e+006
395	1.6958e+006
395	3.2288e+006
396	2.3655e+006
396	3.4267e+006
397	2.9532e+006
397	2.8162e+006
398	4.3224e+006
398	5.0534e+006
399	8.4076e+006
399	5.562e+006
400	5.4369e+006
400	3.886e+006
401	1.4363e+006
401	3.5564e+006
402	2.7904e+006
402	4.4845e+006
403	2.8598e+006
403	3.9359e+006
404	3.8422e+006
404	5.6432e+006
405	4.083e+006
405	5.459e+006
406	2.4984e+006
406	2.9979e+006
407	2.9125e+006
407	2.8924e+006
408	2.6298e+006
408	5.8516e+006
409	3.9805e+006
409	5.4215e+006
410	1.1076e+006
410	2.0862e+006
411	3.5628e+006
411	3.5143e+006
412	2.5783e+006
412	3.3387e+006
413	3.1972e+006
413	3.2523e+006
414	3.9432e+005
414	2.4621e+006
415	1.9843e+006
415	2.7033e+006
416	8.1059e+005
416	1.0858e+006
417	1.8035e+006
417	2.8479e+006
418	3.7119e+006
418	3.7806e+006
419	7.1109e+006
419	4.7609e+006
420	3.965e+006
420	3.7985e+006
421	1.4224e+006
421	7.3973e+005
422	1.8047e+006
422	1.8061e+006
423	1.7572e+006
423	1.5992e+006
424	2.1046e+006
424	1.5554e+006
425	1.8925e+006
425	1.1858e+006
426	2.1632e+006
426	2.5511e+006
427	4.1512e+006
427	2.2458e+006
428	2.2898e+006
428	2.6403e+006
429	3.2601e+006
429	2.9048e+006
430	2.0275e+006
430	1.8761e+006
431	1.1879e+006
431	2.1407e+006
432	5.6609e+005
432	1.4249e+006
433	1.0648e+006
433	2.1515e+006
434	2.0336e+006
434	2.3738e+006
435	2.0619e+006
435	7.5994e+005
436	1.6688e+006
436	1.8325e+006
437	3.0709e+006
437	1.2259e+006
438	2.3789e+006
438	2.1387e+006
439	3.8352e+006
439	2.4934e+006
440	4.0415e+005
440	1.3564e+006
441	2.5401e+005
441	5.9686e+005
442	6.6893e+005
442	1.1442e+006
443	94658
443	93772
444	96624
444	87484
445	77391
445	69701
446	85855
446	1.3933e+005
447	99970
447	1.205e+005
448	70669
448	90823
449	1.6356e+005
449	3.3147e+005
450	3.7006e+005
450	2.5539e+005
451	9.4625e+005
451	2.1672e+006
452	1.7369e+006
452	2.0476e+006
453	1.0671e+006
453	1.1489e+006
454	8.1952e+005
454	9.3645e+005
455	1.4817e+006
455	9.7085e+005
456	1.0194e+006
456	7.315e+005
457	8.7752e+005
457	5.8793e+005
458	1.7263e+006
458	1.7486e+006
459	6.6161e+005
459	9.8767e+005
460	1.0583e+006
460	6.562e+005
461	1.0533e+006
461	1.4703e+006
462	2.0414e+006
462	1.8508e+006
463	1.9251e+006
463	1.0851e+006
464	1.4016e+006
464	1.0813e+006
465	2.4468e+006
465	1.9316e+006
466	1.3512e+006
466	1.7741e+006
467	1.344e+006
467	1.0635e+006
468	1.2707e+006
468	2.2292e+006
469	1.7452e+006
469	1.8124e+006
470	8.9126e+005
470	8.2985e+005
471	4.683e+005
471	6.0837e+005
472	2.0729e+006
472	1.9436e+006
473	8.4494e+005
473	4.458e+005
474	8.1413e+005
474	4.7691e+005
475	8.7426e+005
475	5.5588e+005
476	2.2386e+005
476	3.9995e+005
477	9.1618e+005
477	6.5515e+005
478	3.3459e+005
478	2.7433e+005
479	4.1677e+005
479	7.0225e+005
480	41470
480	76332
481	5.4722e+006
481	3.2558e+006
482	3.4943e+006
482	2.7331e+006
483	4.13e+006
483	1.9277e+006
484	1.9115e+006
484	2.3415e+006
485	2.5663e+006
485	2.5769e+006
486	8.0753e+005
486	2.7086e+006
487	3.0088e+006
487	2.7775e+006
488	2.1577e+005
488	8.4064e+005
489	9.9228e+005
489	1.8298e+006
490	1.7969e+006
490	2.095e+006
491	2.984e+006
491	2.7905e+006
492	2.9374e+006
492	3.0236e+006
493	7.0415e+005
493	1.4674e+006
494	1.6002e+006
494	1.7588e+006
495	2.6645e+006
